event_date,event_ts,event_name,user_pseudo_id,session_id,transaction_id,device_category,country,item_id,item_name,item_brand,item_category,item_category2,item_category3,price,quantity,item_revenue
2021-01-23,2021-01-23 06:37:21.606990 UTC,view_item,4964693.4622163596,4964693.4622163596-440378916,(not set),mobile,Singapore,GGOEAFBA115599,Android Super Hero 3D Framed Art,(not set),Home/Sale/,(not set),(not set),40.0,,
2021-01-23,2021-01-23 01:14:40.119180 UTC,view_item,5106767.9563243336,5106767.9563243336-4615733342,(not set),desktop,United States,GGOEGEGC099099,Google Small Cable Organizer Blue,(not set),Lifestyle/Small Goods/,(not set),(not set),3.0,,
2021-01-23,2021-01-23 04:11:56.139706 UTC,view_item,8562159.2491986240,8562159.2491986240-6462025176,(not set),desktop,Canada,GGOEGXXX1109,Google Zip Hoodie F/C,Google,Home/Apparel/Men's / Unisex/,(not set),(not set),60.0,,
2021-01-23,2021-01-23 20:34:31.722567 UTC,view_item,14970203.4576632577,14970203.4576632577-4391071009,(not set),desktop,United Kingdom,GGOEAFBA115299,Candy Cane Android Cardboard Sculpture,(not set),Home/Sale/,(not set),(not set),20.0,,
2021-01-23,2021-01-23 08:42:10.340861 UTC,select_item,34180945.9747047173,34180945.9747047173-9938069032,(not set),desktop,Brazil,GGOECXXX1630,Google Cloud  Unisex Zip Hoodie,Google Cloud,Home/New/,(not set),(not set),69.0,,
2021-01-23,2021-01-23 13:40:41.521528 UTC,view_item,44164122.5992844086,44164122.5992844086-1013519613,(not set),desktop,United States,GGOEGXXX1346,Google Toddler Tee White,(not set),Home/Apparel/Kids/,(not set),(not set),24.0,,
2021-01-23,2021-01-23 18:12:37.124655 UTC,view_promotion,51444660.9885888539,51444660.9885888539-2217174846,(not set),mobile,United States,(not set),(not set),(not set),(not set),(not set),(not set),,,
2020-11-22,2020-11-22 23:22:38.234524 UTC,first_visit,1072927.7779597337,1072927.7779597337-6633861091,,desktop,United States,,,,,,,,,
2020-11-22,2020-11-22 08:12:30.236213 UTC,first_visit,6030121.5670690743,6030121.5670690743-8651026865,,desktop,Canada,,,,,,,,,
2020-11-22,2020-11-22 21:07:04.630881 UTC,view_item,8673539.8271408481,8673539.8271408481-6736653005,(not set),mobile,Vietnam,,,,,,,,,
2020-11-22,2020-11-22 16:19:28.087674 UTC,page_view,13713398.1730765816,13713398.1730765816-7186012451,,mobile,Poland,,,,,,,,,
2020-11-22,2020-11-22 03:47:36.438607 UTC,user_engagement,35007656.3391395284,35007656.3391395284-694806012,,desktop,United States,,,,,,,,,
2020-11-22,2020-11-22 11:51:30.437278 UTC,first_visit,45322433.2531080518,45322433.2531080518-9771087087,,desktop,China,,,,,,,,,
2020-11-22,2020-11-22 17:09:34.170876 UTC,session_start,75324372.3678162849,75324372.3678162849-511049915,,desktop,United States,,,,,,,,,
2020-11-22,2020-11-22 10:27:31.996388 UTC,session_start,83151484.7323838735,83151484.7323838735-8414178596,,desktop,United Kingdom,,,,,,,,,
2020-11-22,2020-11-22 07:36:38.220713 UTC,page_view,83514946.6094165303,83514946.6094165303-7853242244,,desktop,Hong Kong,,,,,,,,,
2020-11-22,2020-11-22 10:51:40.414400 UTC,view_item,3677413.9474218999,3677413.9474218999-9899273164,(not set),mobile,United States,GGOEGXXX1352,Google Sherpa Zip Hoodie Charcoal,(not set),Home/Apparel/Men's / Unisex/,(not set),(not set),69.0,,
2020-11-22,2020-11-22 08:43:23.918984 UTC,view_item,12174342.2198928658,12174342.2198928658-5490257998,(not set),desktop,Turkey,GGOEGXXX1613,Super G Unisex Joggers,(not set),Home/Apparel/Men's / Unisex/,(not set),(not set),37.0,,
2020-11-22,2020-11-22 22:48:24.272070 UTC,view_item,26500384.0066825915,26500384.0066825915-7444165633,(not set),desktop,Colombia,GGCOGOCA157331,Google Land & Sea Journal Set,(not set),Home/New/,(not set),(not set),15.0,,
2020-11-22,2020-11-22 16:48:16.831835 UTC,view_item,33720162.9987350617,33720162.9987350617-1788488690,(not set),desktop,Australia,GGOEGXXX1268,Stan and Friends Onesie Green,(not set),Home/Apparel/,(not set),(not set),25.0,,
2020-11-22,2020-11-22 21:45:43.637398 UTC,view_item,39926286.0525382560,39926286.0525382560-4865619043,(not set),desktop,United States,GGOEGBRJ114199,Google Utility BackPack,(not set),Lifestyle/Bags/,(not set),(not set),120.0,,
2020-11-22,2020-11-22 22:21:15.533854 UTC,view_item,65763297.7718598085,65763297.7718598085-3679641309,(not set),mobile,France,GGOEAHPL130910,Android Iconic Hat Green,(not set),Home/Apparel/Hats/,(not set),(not set),16.0,,
2020-12-26,2020-12-26 10:50:42.946642 UTC,scroll,1542222.8227712451,1542222.8227712451-9220562362,,mobile,Canada,,,,,,,,,
2020-12-26,2020-12-26 19:04:09.729493 UTC,first_visit,2080757.7945255777,2080757.7945255777-6798324760,,mobile,Germany,,,,,,,,,
2020-12-26,2020-12-26 00:09:56.252227 UTC,view_item,6776269.2321622094,6776269.2321622094-315802490,(not set),desktop,United Arab Emirates,,,,,,,,,
2020-12-26,2020-12-26 01:40:11.418412 UTC,scroll,6955866.9581230869,6955866.9581230869-7643970838,,mobile,United States,,,,,,,,,
2020-12-26,2020-12-26 10:59:45.854964 UTC,user_engagement,8735171.5396113744,8735171.5396113744-7788895264,,desktop,United States,,,,,,,,,
2020-12-26,2020-12-26 23:57:04.386372 UTC,view_search_results,12866003.2949768691,12866003.2949768691-7405576477,,desktop,India,,,,,,,,,
2020-12-26,2020-12-26 16:20:07.893049 UTC,first_visit,14597763.4741336101,14597763.4741336101-3308374701,,desktop,United States,,,,,,,,,
2020-12-26,2020-12-26 17:30:50.010685 UTC,page_view,23280040.2238562025,23280040.2238562025-4054551402,,desktop,United States,,,,,,,,,
2020-12-26,2020-12-26 08:17:59.720425 UTC,scroll,26136375.2399761726,26136375.2399761726-8422758442,,mobile,United States,,,,,,,,,
2020-12-26,2020-12-26 19:12:24.079998 UTC,first_visit,61840115.7437963154,61840115.7437963154-6728852935,,mobile,Taiwan,,,,,,,,,
2020-12-26,2020-12-26 15:39:54.729464 UTC,page_view,66472436.1077529286,66472436.1077529286-1358115813,,desktop,United States,,,,,,,,,
2020-12-26,2020-12-26 05:29:15.495127 UTC,scroll,76947190.9068400713,76947190.9068400713-322102613,,desktop,United States,,,,,,,,,
2020-12-26,2020-12-26 23:54:40.762795 UTC,view_item,1895494.2311516191,1895494.2311516191-4945993435,(not set),desktop,United States,GGCOGDHC161299,Google Blue Stojo Cup,(not set),Drinkware,(not set),(not set),25.0,,
2020-12-26,2020-12-26 13:41:13.456829 UTC,view_item,4440606.5897533490,4440606.5897533490-2538377597,(not set),desktop,Brazil,GGOEGOCD131699,Google Cork Journal,(not set),Home/Shop by Brand/Google/,(not set),(not set),9.0,,
2020-12-26,2020-12-26 00:37:19.365914 UTC,view_item,5798842.3922639602,5798842.3922639602-1048887549,(not set),mobile,Netherlands,GGOEGXXX1340,Google Badge Heavyweight Pullover Black,(not set),Home/Apparel/Men's / Unisex/,(not set),(not set),58.0,,
2020-12-26,2020-12-26 18:04:01.834932 UTC,add_to_cart,7146099.4114986615,7146099.4114986615-9745507138,(not set),mobile,Colombia,GGOEGXXX0913,Google Crewneck Sweatshirt Navy,(not set),Home/Apparel/Men's / Unisex/,(not set),(not set),55.0,,
2020-12-26,2020-12-26 08:08:54.408605 UTC,view_item,7567321.5177929026,7567321.5177929026-593982578,(not set),desktop,United States,GGOEGDBJ132299,Stainless Bent Straw/Cleaner,(not set),Lifestyle/Drinkware/,(not set),(not set),4.0,,
2020-12-26,2020-12-26 20:09:17.058472 UTC,add_to_cart,26025218.0052930242,26025218.0052930242-2123411384,(not set),desktop,United States,GGOEGDHB137399,Google Woodtop Bottle Black,(not set),Lifestyle/Drinkware/,(not set),(not set),30.0,,
2020-12-26,2020-12-26 10:00:34.165352 UTC,view_item,63908470.0848585312,63908470.0848585312-6114310226,(not set),desktop,United States,GGOEGBBD122099,Google Confetti Accessory Pouch,(not set),Home/Shop by Brand/Google/,(not set),(not set),12.0,,
2020-12-06,2020-12-06 19:41:17.487342 UTC,page_view,1046376.0237695224,1046376.0237695224-4700404413,,mobile,United States,,,,,,,,,
2020-12-06,2020-12-06 23:25:22.676825 UTC,session_start,1385441.3893023597,1385441.3893023597-4521814290,,mobile,United States,,,,,,,,,
2020-12-06,2020-12-06 06:25:17.217124 UTC,first_visit,1550291.7223358732,1550291.7223358732-125521601,,desktop,Canada,,,,,,,,,
2020-12-06,2020-12-06 11:48:00.078796 UTC,page_view,3632663.7723787409,3632663.7723787409-2675209663,,desktop,Canada,,,,,,,,,
2020-12-06,2020-12-06 09:13:53.628435 UTC,scroll,4954390.2247888104,4954390.2247888104-6623068167,,desktop,Taiwan,,,,,,,,,
2020-12-06,2020-12-06 17:54:10.861890 UTC,view_promotion,8432100.8786702190,8432100.8786702190-8974123593,(not set),desktop,Singapore,,,,,,,,,
2020-12-06,2020-12-06 15:50:40.676108 UTC,page_view,9186932.8123408908,9186932.8123408908-1469902055,,mobile,United States,,,,,,,,,
2020-12-06,2020-12-06 13:33:59.130779 UTC,user_engagement,21548236.0979365891,21548236.0979365891-6710831527,,mobile,Brazil,,,,,,,,,
2020-12-06,2020-12-06 18:10:53.425579 UTC,session_start,21856588.5295433589,21856588.5295433589-6333092333,,mobile,Canada,,,,,,,,,
2020-12-06,2020-12-06 17:04:10.870656 UTC,first_visit,30945529.6537975615,30945529.6537975615-7759576526,,desktop,United States,,,,,,,,,
2020-12-06,2020-12-06 04:47:05.953506 UTC,view_item,60525598.8816955895,60525598.8816955895-4053357284,(not set),mobile,United States,,,,,,,,,
2020-12-06,2020-12-06 20:13:44.336120 UTC,user_engagement,66144167.5419978827,66144167.5419978827-7986857726,,desktop,United States,,,,,,,,,
2020-12-06,2020-12-06 15:33:40.819400 UTC,view_promotion,78484213.6864810845,78484213.6864810845-6501145420,(not set),mobile,United States,,,,,,,,,
2020-12-06,2020-12-06 04:26:58.738370 UTC,page_view,79364311.6474750814,79364311.6474750814-9262150526,,desktop,Peru,,,,,,,,,
2020-12-06,2020-12-06 09:55:47.760479 UTC,view_item,3034370157.5544224251,3034370157.5544224251-7921535472,(not set),desktop,Canada,,,,,,,,,
2020-12-06,2020-12-06 18:00:33.657172 UTC,view_item,51145557.4418675264,51145557.4418675264-5059469691,(not set),desktop,Philippines,GGOEAFKQ130599,Android Iconic 4&quot; Decal,(not set),Home/Stationery/Stickers/,(not set),(not set),2.0,,
2020-12-06,2020-12-06 09:14:03.812087 UTC,view_item,1318733.0567000195,1318733.0567000195-4328778329,(not set),desktop,Canada,GGOEGXXX0913,Google Crewneck Sweatshirt Navy,(not set),Home/Apparel/Men's / Unisex/,(not set),(not set),55.0,,
2020-12-06,2020-12-06 01:48:20.509565 UTC,view_item,5238588.8179918926,5238588.8179918926-1394454980,(not set),mobile,United States,GGOEGXXX0907,Google Tee Blue,(not set),Sale,(not set),(not set),11.0,,
2020-12-06,2020-12-06 14:39:40.879886 UTC,add_to_cart,8766011.2736167051,8766011.2736167051-8831422849,(not set),desktop,India,GGOEGHPC120810,Google Leather Strap Hat Blue,(not set),Home/Apparel/Hats/,(not set),(not set),17.0,,
2020-12-06,2020-12-06 18:49:42.028031 UTC,view_item,10606483.3589819766,10606483.3589819766-7233967003,(not set),desktop,United States,GGOEGXXX1193,Google Campus Bike Eco Tee Navy,(not set),Home/Apparel/,(not set),(not set),25.0,,
2020-12-06,2020-12-06 14:52:51.468180 UTC,view_item,11820653.6468267499,11820653.6468267499-1016792310,(not set),mobile,United States,GGOEYDWB123299,YouTube Play Mug,(not set),Home/Shop by Brand/YouTube/,(not set),(not set),13.0,,
2020-12-06,2020-12-06 00:31:26.651882 UTC,view_item,15245159.9317281446,15245159.9317281446-5099801311,(not set),mobile,United States,GGOEGGOA017399,Maze Pen,(not set),Home/Stationery/,(not set),(not set),1.0,,
2020-12-06,2020-12-06 18:35:39.661731 UTC,view_item,15560941.7352672103,15560941.7352672103-58134785,(not set),desktop,Ireland,GGOEGXXX1613,Super G Unisex Joggers,(not set),Home/Apparel/Men's / Unisex/,(not set),(not set),37.0,,
2020-12-06,2020-12-06 18:28:16.004882 UTC,view_item,40046907.7453054542,40046907.7453054542-9483301360,(not set),mobile,South Korea,GGOEYHPB121110,YouTube Leather Strap Hat Black,(not set),Home/Shop by Brand/YouTube/,(not set),(not set),17.0,,
2020-12-06,2020-12-06 08:23:36.942063 UTC,view_item,47442734.7201046018,47442734.7201046018-7987043521,(not set),mobile,Canada,GGOEGXXX1343,Google Heather Green Speckled Tee,(not set),Home/Apparel/Women's/,(not set),(not set),30.0,,
2020-12-06,2020-12-06 10:23:51.470410 UTC,add_to_cart,47900647.0436315198,47900647.0436315198-9868119094,(not set),mobile,United States,GGOEGXXX1336,Google Cambridge Campus Ladies Tee,(not set),Home/Campus Collection/,(not set),(not set),25.0,,
